"","schoolcode","sssdistrict","ssslong","ssslat","programplaced","cutoff","quality","size"
"1",10101,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",284,300.571428571429,49
"2",10101,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Business",305,324.86,100
"3",10101,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Agriculture",288,310.142857142857,49
"4",10101,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",299,329.1,50
"5",10101,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",296,311.54,50
"6",10101,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",316,330.09,100
"7",10101,"Accra Metro",NA,NA,"Home Economics",284,300.571428571429,49
"8",10101,"Accra Metro",NA,NA,"Business",305,324.86,100
"9",10101,"Accra Metro",NA,NA,"Agriculture",288,310.142857142857,49
"10",10101,"Accra Metro",NA,NA,"General Science",299,329.1,50
"11",10101,"Accra Metro",NA,NA,"Visual Arts",296,311.54,50
"12",10101,"Accra Metro",NA,NA,"General Arts",316,330.09,100
"13",10102,"Accra Metro",NA,NA,"Home Economics",363,377.111111111111,45
"14",10102,"Accra Metro",NA,NA,"General Science",389,406.414285714286,70
"15",10102,"Accra Metro",NA,NA,"General Arts",388,404.977272727273,88
"16",10102,"Accra Metro",NA,NA,"Visual Arts",343,370.933333333333,45
"17",10102,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",363,377.111111111111,45
"18",10102,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",389,406.414285714286,70
"19",10102,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",388,404.977272727273,88
"20",10102,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",343,370.933333333333,45
"21",10103,"Accra Metro",NA,NA,"Agriculture",316,333.131578947368,38
"22",10103,"Accra Metro",NA,NA,"Home Economics",320,336.040816326531,49
"23",10103,"Accra Metro",NA,NA,"General Arts",349,362.581196581197,117
"24",10103,"Accra Metro",NA,NA,"General Science",335,353.5625,80
"25",10103,"Accra Metro",NA,NA,"Business",341,357.966386554622,119
"26",10103,"Accra Metro",NA,NA,"Visual Arts",343,357.95,40
"27",10103,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Agriculture",316,333.131578947368,38
"28",10103,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",320,336.040816326531,49
"29",10103,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",349,362.581196581197,117
"30",10103,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",335,353.5625,80
"31",10103,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Business",341,357.966386554622,119
"32",10103,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",343,357.95,40
"33",10104,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Arts",302,320.127272727273,55
"34",10104,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Home Economics",264,285.854545454545,55
"35",10104,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"Visual Arts",273,298.327272727273,55
"36",10104,"Accra Metropolitan",-0.197115257382393,5.6073956489563,"General Science",245,283.363636363636,55
"37",10104,"Accra Metro",NA,NA,"General Arts",302,320.127272727273,55
"38",10104,"Accra Metro",NA,NA,"Home Economics",264,285.854545454545,55
"39",10104,"Accra Metro",NA,NA,"Visual Arts",273,298.327272727273,55
"40",10104,"Accra Metro",NA,NA,"General Science",245,283.363636363636,55
"41",10105,"Accra Metro",NA,NA,"General Science",339,366.4875,80
"42",10105,"Accra Metro",NA,NA,"Business",331,356.355555555556,90
"43",10105,"Accra Metro",NA,NA,"Agriculture",260,306.266666666667,45
"44",10105,"Accra Metro",NA,NA,"General Arts",328,356.735632183908,87
"45",10105,"Accra Metro",NA,NA,"Visual Arts",323,347.977272727273,44
